id,name,serves,ingredients,instructions,meal_type,is_vegetarian,protein,carbs,fat,fiber,energy,iron_mg,magnesium_mg,calcium_mg,potassium_mg,sodium_mg,vitamin_c_mg
13,Burrito Bowls,1,"[{""id"": 8, ""name"": ""avocado"", ""quantity"": 70.0, ""serving_unit"": ""g""}, {""id"": 17, ""name"": ""black beans"", ""quantity"": 100.0, ""serving_unit"": ""g""}, {""id"": 25, ""name"": ""brown rice"", ""quantity"": 50.0, ""serving_unit"": ""g""}, {""id"": 43, ""name"": ""chicken"", ""quantity"": 50.0, ""serving_unit"": ""g""}, {""id"": 87, ""name"": ""ground beef"", ""quantity"": 50.0, ""serving_unit"": ""g""}, {""id"": 123, ""name"": ""paneer"", ""quantity"": 100.0, ""serving_unit"": ""g""}, {""id"": 157, ""name"": ""salsa"", ""quantity"": 30.0, ""serving_unit"": ""g""}, {""id"": 177, ""name"": ""tofu"", ""quantity"": 50.0, ""serving_unit"": ""g""}]","Assemble bowls with brown rice, black beans, salsa, avocado, and yogurt. Add tofu, paneer, ground meat, or chicken.",lunch,t,58.47,47.30,48.00,14.89,852.00,5.78,176.20,721.80,1278.50,307.90,9.75
14,Wraps with Black Beans,1,"[{""id"": 17, ""name"": ""black beans"", ""quantity"": 100, ""serving_unit"": ""g""}, {""id"": 8, ""name"": ""avocado"", ""quantity"": 70, ""serving_unit"": ""g""}, {""id"": 73, ""name"": ""fruit"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 43, ""name"": ""chicken"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 161, ""name"": ""shrimp"", ""quantity"": 50, ""serving_unit"": ""g""}]","Fill wraps with beans, avocado. Serve with fruit. Add chicken or shrimp.",lunch,f,38.05,36.25,12.84,14.19,401.00,3.37,126.80,85.90,1044.50,98.90,15.00
15,Grilled Halloumi/Tofu & Roasted Veg,1,"[{""id"": 89, ""name"": ""halloumi"", ""quantity"": 50, ""serving_unit"": ""ml""}, {""id"": 177, ""name"": ""tofu"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 56, ""name"": ""couscous"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 122, ""name"": ""orange"", ""quantity"": 150, ""serving_unit"": ""g""}, {""id"": 156, ""name"": ""salmon"", ""quantity"": 50, ""serving_unit"": ""g""}]","Grill halloumi or tofu. Serve with couscous, orange, or salmon.",lunch,t,33.06,58.38,22.58,6.25,561.00,2.02,78.00,601.50,621.50,838.00,79.85
16,Pasta with a veggie ,1,"[{""id"": 126, ""name"": ""pasta"", ""quantity"": 50, ""serving_unit"": ""g""}]",Boil pasta. Sauté garlic and vegetable. Add pasta and pesto / sauce. ,dinner,t,2.90,15.45,0.45,0.90,79.00,0.45,9.00,3.50,22.00,0.50,0.00
17,Mezze Platter,1,"[{""id"": 92, ""name"": ""hummus"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 173, ""name"": ""tabbouleh"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 65, ""name"": ""falafel"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 109, ""name"": ""melon"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 99, ""name"": ""lamb"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 43, ""name"": ""chicken"", ""quantity"": 50, ""serving_unit"": ""g""}]","Assemble platter with hummus, tzatziki, tabbouleh, falafel or eggs. Serve with melon slices and lamb or chicken skewers.",lunch,f,36.05,34.60,30.55,9.35,558.00,5.03,124.50,131.00,911.50,534.50,28.50
18,Indian Curry Night,1,"[{""id"": 34, ""name"": ""cauliflower"", ""quantity"": 100, ""serving_unit"": ""g""}, {""id"": 123, ""name"": ""paneer"", ""quantity"": 100, ""serving_unit"": ""g""}, {""id"": 165, ""name"": ""spinach"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 99, ""name"": ""lamb"", ""quantity"": 50, ""serving_unit"": ""g""}]","Prepare curry base. Serve with cauliflower rice. Add paneer, spinach, or lamb.",dinner,t,29.95,10.17,34.68,3.10,473.50,3.25,87.50,562.50,859.50,127.50,62.25
19,Brown Rice & Chana Masala,1,"[{""id"": 25, ""name"": ""brown rice"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 37, ""name"": ""chana masala"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 85, ""name"": ""greens"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 15, ""name"": ""berries"", ""quantity"": 80, ""serving_unit"": ""g""}, {""id"": 44, ""name"": ""chicken breast"", ""quantity"": 50, ""serving_unit"": ""g""}]","Serve chana masala with brown rice, greens, salad, berries, and chicken breast.",dinner,f,21.70,32.42,5.12,8.48,261.80,2.77,89.50,76.70,610.30,250.30,33.87
22,Kebab Night,1,"[{""id"": 96, ""name"": ""kebabs"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 83, ""name"": ""green beans"", ""quantity"": 50, ""serving_unit"": ""g""}]",Grill kebabs with green beans. Serve with cucumber yogurt salad.,dinner,t,10.92,4.49,8.11,1.35,135.50,1.82,23.50,27.50,255.50,263.00,6.10
23,Moroccan Lentil & Vegetable Stew,1,"[{""id"": 103, ""name"": ""lentils"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 164, ""name"": ""spices"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 43, ""name"": ""chicken"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 99, ""name"": ""lamb"", ""quantity"": 50, ""serving_unit"": ""g""}]",Cook lentils with vegetables and spices. Add chicken or lamb.,dinner,f,34.31,39.07,20.19,16.95,444.00,15.39,127.50,278.00,1206.00,224.00,0.75
24,Stir-fry noodles ,2,"[{""id"": 14, ""name"": ""beans"", ""quantity"": 100.0, ""serving_unit"": ""g""}, {""id"": 28, ""name"": ""cabbage"", ""quantity"": 100.0, ""serving_unit"": ""g""}, {""id"": 32, ""name"": ""carrot"", ""quantity"": 1.5, ""serving_unit"": ""nos""}, {""id"": 75, ""name"": ""garlic"", ""quantity"": 2.0, ""serving_unit"": ""g""}, {""id"": 207, ""name"": ""Noodles (Tesco Protein)"", ""quantity"": 300.0, ""serving_unit"": ""g""}, {""id"": 167, ""name"": ""spring onion"", ""quantity"": 20.0, ""serving_unit"": ""g""}]","Stir-fry carrots, beans, spring onion, cabbage. Add tofu or chicken. Serve with rice or noodles.",lunch,f,35.97,68.23,13.40,15.01,531.88,4.00,72.00,116.02,928.72,770.54,46.38
25,Paneer Paratha with Masala Yogurt,1,"[{""id"": 123, ""name"": ""paneer"", ""quantity"": 100, ""serving_unit"": ""g""}, {""id"": 121, ""name"": ""onion"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 178, ""name"": ""tomato"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 75, ""name"": ""garlic"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 62, ""name"": ""dry methi leaves"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 84, ""name"": ""green chillies"", ""quantity"": 50, ""serving_unit"": ""nos""}]","Shred paneer, add masala and onions. Stuff in paratha.

Saute onion, tomatoes, add masala. Once cooled, add yogurt. ",dinner,t,39.97,79.55,25.40,21.50,661.00,20.79,206.00,882.00,1765.00,88.50,635.15
26,Palak Paneer Chappathi,1,"[{""id"": 123, ""name"": ""paneer"", ""quantity"": 100, ""serving_unit"": ""g""}, {""id"": 165, ""name"": ""spinach"", ""quantity"": 50, ""serving_unit"": ""g""}]",Cook spinach and paneer. Serve with chapati.,dinner,t,19.75,5.20,22.70,1.10,307.50,2.05,62.50,529.50,417.00,61.50,14.05
27,Chicken Tikka,1,"[{""id"": 43, ""name"": ""chicken"", ""quantity"": 500.0, ""serving_unit"": ""g""}, {""id"": 121, ""name"": ""onion"", ""quantity"": 250.0, ""serving_unit"": ""g""}, {""id"": 178, ""name"": ""tomato"", ""quantity"": 250.0, ""serving_unit"": ""g""}]",Cook chicken tikka with onions and tomatoes. Serve with chapati.,dinner,f,159.95,33.08,18.75,7.25,970.00,5.70,197.50,157.50,2237.50,392.50,52.75
28,Palak Tofu,1,"[{""id"": 177, ""name"": ""tofu"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 165, ""name"": ""spinach"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 115, ""name"": ""naan"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 122, ""name"": ""orange"", ""quantity"": 150, ""serving_unit"": ""g""}]","Cook spinach with tofu curry. Serve with naan, vegetable sabzi, and orange slices.",dinner,t,11.41,47.88,6.28,6.05,275.00,4.05,84.50,342.00,701.00,363.00,93.90
30,Masala Boiled Eggs,1,"[{""id"": 64, ""name"": ""egg"", ""quantity"": 1.0, ""serving_unit"": ""nos""}]",Sprinkle masala on boiled eggs and serve.,snack,t,6.30,0.40,4.80,0.00,72.00,0.90,6.00,28.00,69.00,71.00,0.00
31,Nut Mix,1,"[{""id"": 1, ""name"": ""almonds"", ""quantity"": 5.0, ""serving_unit"": ""g""}]",Serve almonds and walnuts with apple slices.,snack,t,1.06,1.08,2.50,0.63,28.95,0.19,13.50,13.45,36.65,0.05,0.00
32,Hummus & Veggie Sticks,1,"[{""id"": 92, ""name"": ""hummus"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 81, ""name"": ""grapes"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 109, ""name"": ""melon"", ""quantity"": 50, ""serving_unit"": ""g""}]",Serve vegetable sticks with hummus and grapes or melon.,snack,t,4.71,20.25,5.48,3.90,140.00,1.48,45.00,34.00,343.00,225.50,24.05
33,Cottage Cheese & Berries,1,"[{""id"": 55, ""name"": ""cottage cheese"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 15, ""name"": ""berries"", ""quantity"": 80, ""serving_unit"": ""g""}]",Serve cottage cheese with berries or strawberries.,snack,t,6.35,10.42,2.47,3.28,85.80,0.50,16.00,56.70,160.80,182.80,23.12
37,Veggies & Tzatziki,1,"[{""id"": 81, ""name"": ""grapes"", ""quantity"": 50, ""serving_unit"": ""g""}]",Serve vegetable sticks with tzatziki and grapes.,snack,t,0.36,9.05,0.08,0.45,34.50,0.18,3.50,5.00,95.50,1.00,5.40
39,Roasted Chickpeas & Grapes,1,"[{""id"": 45, ""name"": ""chickpeas"", ""quantity"": 100, ""serving_unit"": ""g""}, {""id"": 81, ""name"": ""grapes"", ""quantity"": 50, ""serving_unit"": ""g""}]",Serve roasted chickpeas with grapes.,snack,t,9.22,36.47,2.67,8.05,198.50,3.07,51.50,54.00,386.50,8.00,5.40
46,Puliyar Chutney,1,"[{""id"": 148, ""name"": ""rice"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 174, ""name"": ""tamarind"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 127, ""name"": ""peanuts"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 164, ""name"": ""spices"", ""quantity"": 50, ""serving_unit"": ""g""}]","Cook rice and mix with tamarind, peanuts, and spices. Serve with yogurt.",sides,t,21.65,82.40,31.55,20.00,630.50,16.80,221.00,338.00,1434.00,173.50,1.75
47,Salna - Hotel style,1,"[{""id"": 149, ""name"": ""roasted gram"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 127, ""name"": ""peanuts"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 50, ""name"": ""coconut"", ""quantity"": 40, ""serving_unit"": ""g""}, {""id"": 31, ""name"": ""cardamom"", ""quantity"": 2, ""serving_unit"": ""g""}, {""id"": 168, ""name"": ""star anise"", ""quantity"": 1, ""serving_unit"": ""g""}, {""id"": 48, ""name"": ""cinnamon"", ""quantity"": 2, ""serving_unit"": ""g""}, {""id"": 95, ""name"": ""kalpasi"", ""quantity"": 1, ""serving_unit"": ""g""}, {""id"": 49, ""name"": ""cloves"", ""quantity"": 6, ""serving_unit"": ""g""}, {""id"": 66, ""name"": ""fennel seeds"", ""quantity"": 0.5, ""serving_unit"": ""g""}, {""id"": 170, ""name"": ""sunflower oil"", ""quantity"": 150, ""serving_unit"": ""g""}, {""id"": 13, ""name"": ""Bay leaves"", ""quantity"": 2, ""serving_unit"": ""nos""}, {""id"": 121, ""name"": ""onion"", ""quantity"": 200, ""serving_unit"": ""g""}, {""id"": 78, ""name"": ""ginger garlic paste"", ""quantity"": 15, ""serving_unit"": ""g""}, {""id"": 84, ""name"": ""green chilies"", ""quantity"": 6, ""serving_unit"": ""nos""}, {""id"": 183, ""name"": ""turmeric powder"", ""quantity"": 0.5, ""serving_unit"": ""tsp""}, {""id"": 47, ""name"": ""chilli powder"", ""quantity"": 2, ""serving_unit"": ""tbsp""}, {""id"": 223, ""name"": ""cumin powder"", ""quantity"": 0.5, ""serving_unit"": ""tbsp""}, {""id"": 54, ""name"": ""coriander powder"", ""quantity"": 1, ""serving_unit"": ""tbsp""}, {""id"": 74, ""name"": ""garam masala"", ""quantity"": 1, ""serving_unit"": ""g""}, {""id"": 155, ""name"": ""salad tomatoes"", ""quantity"": 5, ""serving_unit"": ""nos""}, {""id"": 158, ""name"": ""salt"", ""quantity"": 2, ""serving_unit"": ""tsp""}, {""id"": 53, ""name"": ""coriander leaves"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 111, ""name"": ""mint leaves"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 26, ""name"": ""Brussels sprouts"", ""quantity"": 3000, ""serving_unit"": ""g""}]"," * Prepare the Paste:

   * Combine roasted gram (pottukadalai), peanuts, coconut, cardamom, star anise, a small piece of cinnamon, kalpasi, two cloves, and a little fennel seeds in a blender.

   * Grind these ingredients into a smooth paste.

 * Sauté Aromatics:

   * Heat 150 ml of oil in a large pot.

   * Add two bay leaves, two cloves, two small pieces of cinnamon, a small amount of kalpasi, a small piece of star anise, and four cloves to the hot oil.

   * Add 200 grams of sliced onions and sauté until golden brown.

   * Add one spoon of garlic paste and one spoon of ginger paste, then mix well.

   * Add six green chilies and continue to sauté.

 * Add Spices and Tomatoes:

   * Add half a spoon of turmeric powder, two spoons of chili powder, two spoons of cumin powder, one spoon of coriander powder, two spoons of mutton masala, and one spoon of garam masala.

   * Mix the spices thoroughly with the sautéed ingredients.

   * Add five chopped tomatoes and mix until they soften.

   * Add a little water and salt to taste.

   * Add a small bunch of coriander leaves and a slightly larger amount of mint leaves.

   * Continue to cook until the tomatoes are well mashed and the oil separates.

 * Incorporate the Ground Paste and Finish:

   * Add the previously ground paste to the pot and mix it in.

   * Pour in about 3 liters of water.

   * Check the salt level and adjust if needed.

   * Cover the pot and let it boil for about 10 minutes.

   * Once cooked, garnish with coriander leaves.",lunch,f,140.93,387.35,206.32,157.73,3589.80,59.65,1061.98,1757.87,15425.85,5936.96,2678.53
48,Overnight rice,1,"[{""id"": 148, ""name"": ""rice"", ""quantity"": 50, ""serving_unit"": ""g""}]",Soak rice overnight. ,breakfast,t,1.35,14.10,0.15,0.20,65.00,0.60,6.00,5.00,17.50,0.50,0.00
49,Guacamole with boiled eggs,1,"[{""id"": 8, ""name"": ""avocado"", ""quantity"": 1, ""serving_unit"": ""g""}, {""id"": 178, ""name"": ""tomato"", ""quantity"": 1, ""serving_unit"": ""g""}, {""id"": 121, ""name"": ""onion"", ""quantity"": 0.25, ""serving_unit"": ""g""}, {""id"": 41, ""name"": ""cherry tomatoes"", ""quantity"": 5, ""serving_unit"": ""g""}, {""id"": 94, ""name"": ""kale"", ""quantity"": 30, ""serving_unit"": ""g""}, {""id"": 67, ""name"": ""feta"", ""quantity"": 15, ""serving_unit"": ""g""}, {""id"": 57, ""name"": ""cucumber"", ""quantity"": 0.5, ""serving_unit"": ""g""}, {""id"": 120, ""name"": ""olives"", ""quantity"": 5, ""serving_unit"": ""g""}, {""id"": 64, ""name"": ""egg"", ""quantity"": 1, ""serving_unit"": ""nos""}, {""id"": 156, ""name"": ""salmon"", ""quantity"": 100, ""serving_unit"": ""g""}]",Toast bread. Mash avocado. Top with onion and tomato. Season with Masala if needed. Have with slice of boiled egg. ,breakfast,t,30.25,4.16,22.60,1.39,344.56,1.83,51.54,159.41,610.87,357.14,36.97
50,Celery soup,1,"[{""id"": 32, ""name"": ""carrot"", ""quantity"": 50.0, ""serving_unit"": ""nos""}, {""id"": 35, ""name"": ""celery"", ""quantity"": 50.0, ""serving_unit"": ""g""}, {""id"": 72, ""name"": ""fried onions"", ""quantity"": 20.0, ""serving_unit"": ""g""}, {""id"": 75, ""name"": ""garlic"", ""quantity"": 50.0, ""serving_unit"": ""g""}, {""id"": 137, ""name"": ""potatoes"", ""quantity"": 50.0, ""serving_unit"": ""g""}]","Pressure cook carrot, celery, potato. Once cooled down, grind it in the mixer. Heat sauce pan, sauté garlic and pour soup. Top with fried onions. ",dinner,t,35.74,336.82,13.40,88.95,1482.00,11.66,386.50,1128.50,10353.00,2271.50,207.60
52,Salad & Pickle,1,"[{""id"": 57, ""name"": ""cucumber"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 32, ""name"": ""carrot"", ""quantity"": 50, ""serving_unit"": ""nos""}, {""id"": 121, ""name"": ""onion"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 155, ""name"": ""salad tomatoes"", ""quantity"": 50, ""serving_unit"": ""nos""}, {""id"": 81, ""name"": ""grapes"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 136, ""name"": ""pomegranate"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 130, ""name"": ""pickle"", ""quantity"": 50, ""serving_unit"": ""g""}]",Take one pickle. And a choice of salad vegetables / fruits in a bowl. Have them 30mins before dinner. ,snack,t,87.32,566.04,15.87,164.05,2459.50,25.73,927.00,1539.50,24768.50,2800.50,977.30
53,Mediterranean Lentil & Chickpea salad,1,"[{""id"": 45, ""name"": ""chickpeas"", ""quantity"": 400, ""serving_unit"": ""g""}, {""id"": 24, ""name"": ""brown lentils"", ""quantity"": 200, ""serving_unit"": ""g""}, {""id"": 145, ""name"": ""red capsicum"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 146, ""name"": ""red onion"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 9, ""name"": ""baby spinach"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 68, ""name"": ""feta cheese"", ""quantity"": 50, ""serving_unit"": ""g""}, {""id"": 119, ""name"": ""olive oil"", ""quantity"": 2, ""serving_unit"": ""tbsp""}, {""id"": 101, ""name"": ""lemon juice"", ""quantity"": 5, ""serving_unit"": ""ml""}, {""id"": 61, ""name"": ""dried oregano"", ""quantity"": 5, ""serving_unit"": ""g""}, {""id"": 158, ""name"": ""salt"", ""quantity"": 5, ""serving_unit"": ""tsp""}, {""id"": 18, ""name"": ""black pepper"", ""quantity"": 1, ""serving_unit"": ""g""}]","1. In a large bowl, combine chickpeas, lentils, bell pepper, and red onion.
2. Add the baby spinach and gently toss together.
3. In a small bowl, whisk together olive oil, lemon juice, oregano, salt, and pepper.
4. Pour the dressing over the salad and mix well.
5. Top with crumbled feta cheese if using.
6. Serve immediately or refrigerate for up to 24 hours (the flavors will develop nicely).",lunch,t,63.65,165.91,49.43,51.59,1322.36,22.16,339.51,629.58,2492.39,12035.50,86.86
